,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
4,2019.12.06,,,09.55.15,,0,5G,-102,-11,2.0,14,-86,45,13,D
5,2019.12.06,,,09.55.16,,0,5G,-102,-11,2.0,14,-86,164,87,D
6,2019.12.06,,,09.55.17,,0,5G,-104,-10,5.0,14,-86,505,61,D
7,2019.12.06,,,09.55.18,,0,5G,-104,-10,5.0,14,-86,33890,1057,D
8,2019.12.06,,,09.55.19,,0,5G,-102,-15,-2.0,14,-86,489,18,D
10,2019.12.06,,,09.55.21,,0,5G,-102,-16,2.0,14,-86,5163,254,D
11,2019.12.06,,,09.55.23,,0,5G,-102,-16,2.0,11,-88,113826,876,D
12,2019.12.06,,,09.55.24,,0,5G,-96,-9,16.0,13,-86,106654,460,D
13,2019.12.06,,,09.55.25,,0,5G,-96,-9,16.0,10,-,110,33,D
15,2019.12.06,,,09.55.27,,0,5G,-96,-16,15.0,10,-,19937,301,D
17,2019.12.06,,,09.55.29,,0,5G,-95,-14,6.0,10,-,49,17,D
32,2019.12.06,,,09.55.45,,0,5G,-95,-9,9.0,10,-86,83,236,D
54,2019.12.06,,,09.56.09,,0,5G,-96,-9,-9.0,12,-,21881,262,D
61,2019.12.06,,,09.56.17,,0,5G,-97,-8,5.0,12,-,14,0,D
66,2019.12.06,,,09.56.22,,0,5G,-98,-10,9.0,11,-85,15,26,D
96,2019.12.06,,,09.56.55,,0,5G,-97,-8,2.0,12,-82,11095,376,D
97,2019.12.06,,,09.56.56,,0,5G,-97,-8,2.0,13,-80,3123,45,D
98,2019.12.06,,,09.56.57,,0,5G,-96,-10,2.0,13,-80,18252,225,D
102,2019.12.06,,,09.57.01,,0,5G,-97,-16,11.0,15,-82,56,37,D
118,2019.12.06,,,09.57.18,,0,5G,-97,-10,3.0,15,-80,38,110,D
119,2019.12.06,,,09.57.19,,0,5G,-97,-10,3.0,15,-80,19,24,D
122,2019.12.06,,,09.57.23,,0,5G,-97,-10,-1.0,15,-80,26,6,D
124,2019.12.06,,,09.57.25,,0,5G,-97,-9,3.0,14,-82,19935,663,D
125,2019.12.06,,,09.57.26,,0,5G,-97,-9,3.0,14,-82,1178,17,D
129,2019.12.06,,,09.57.30,,0,5G,-97,-9,2.0,14,-82,23780,740,D
140,2019.12.06,,,09.57.42,,0,5G,-97,-16,3.0,15,-80,3526,69,D
141,2019.12.06,,,09.57.43,,0,5G,-97,-16,3.0,15,-80,12693,128,D
142,2019.12.06,,,09.57.44,,0,5G,-97,-16,3.0,9,-82,16298,123,D
177,2019.12.06,,,09.58.22,,0,5G,-97,-13,5.0,10,-80,16,27,D
184,2019.12.06,,,09.58.30,,0,5G,-97,-9,8.0,9,-82,27522,201,D
188,2019.12.06,,,09.58.34,,0,5G,-97,-9,12.0,9,-82,11,1,D
226,2019.12.06,,,09.59.15,,0,5G,-97,-15,4.0,12,-82,32572,260,D
232,2019.12.06,,,09.59.22,,0,5G,-97,-8,4.0,12,-82,15,27,D
268,2019.12.06,,,10.00.01,,0,5G,-97,-9,13.0,14,-82,21026,195,D
269,2019.12.06,,,10.00.02,,0,5G,-97,-9,13.0,14,-82,9897,81,D
288,2019.12.06,,,10.00.22,,0,5G,-96,-8,4.0,14,-82,15,28,D
310,2019.12.06,,,10.00.46,,0,5G,-96,-13,12.0,11,-79,2033,27,D
311,2019.12.06,,,10.00.47,,0,5G,-96,-13,12.0,11,-79,5332,84,D
313,2019.12.06,,,10.00.49,,0,5G,-97,-13,2.0,11,-79,7600,166,D
314,2019.12.06,,,10.00.50,,0,5G,-97,-10,8.0,11,-79,4631,98,D
322,2019.12.06,,,10.00.59,,0,5G,-97,-9,13.0,11,-82,11,0,D
323,2019.12.06,,,10.01.00,,0,5G,-97,-9,13.0,11,-82,18478,175,D
343,2019.12.06,,,10.01.22,,0,5G,-97,-8,6.0,11,-82,15,27,D
365,2019.12.06,,,10.01.46,,0,5G,-97,-15,10.0,14,-82,29677,321,D
399,2019.12.06,,,10.02.23,,0,5G,-97,-8,12.0,13,-82,15,27,D
407,2019.12.06,,,10.02.31,,0,5G,-97,-9,3.0,13,-82,16457,152,D
408,2019.12.06,,,10.02.32,,0,5G,-97,-10,12.0,13,-82,13515,123,D
451,2019.12.06,,,10.03.19,,0,5G,-96,-8,13.0,14,-80,4248,79,D
452,2019.12.06,,,10.03.20,,0,5G,-96,-12,15.0,10,-82,13909,167,D
453,2019.12.06,,,10.03.21,,0,5G,-96,-12,15.0,10,-82,20672,147,D
454,2019.12.06,,,10.03.22,,0,5G,-96,-13,-8.0,10,-82,15,28,D
495,2019.12.06,,,10.04.06,,0,5G,-96,-10,4.0,9,-80,25924,182,D
511,2019.12.06,,,10.04.24,,0,5G,-97,-9,2.0,12,-79,13,0,D
537,2019.12.06,,,10.04.52,,0,5G,-97,-13,12.0,13,-81,35064,244,D
565,2019.12.06,,,10.05.22,,0,5G,-97,-12,3.0,13,-81,16,27,D
579,2019.12.06,,,10.05.37,,0,5G,-97,-9,4.0,13,-81,22343,126,D
580,2019.12.06,,,10.05.38,,0,5G,-97,-9,14.0,13,-81,12472,58,D
619,2019.12.06,,,10.06.21,,0,5G,-97,-8,14.0,13,-81,53,41,D
621,2019.12.06,,,10.06.23,,0,5G,-97,-10,12.0,13,-81,7627,60,D
622,2019.12.06,,,10.06.24,,0,5G,-97,-15,8.0,13,-81,17903,93,D
658,2019.12.06,,,10.07.02,,0,5G,-97,-8,8.0,13,-81,11,1,D
664,2019.12.06,,,10.07.09,,0,5G,-97,-10,6.0,13,-81,27285,150,D
676,2019.12.06,,,10.07.22,,0,5G,-97,-13,13.0,13,-81,15,27,D
699,2019.12.06,,,10.07.47,,0,5G,-97,-9,8.0,14,-78,15,46,D
706,2019.12.06,,,10.07.54,,0,5G,-97,-12,12.0,11,-81,25072,146,D
734,2019.12.06,,,10.08.25,,0,5G,-97,-11,9.0,11,-81,15,26,D
748,2019.12.06,,,10.08.40,,0,5G,-97,-8,12.0,12,-81,10219,69,D
787,2019.12.06,,,10.09.22,,0,5G,-96,-12,12.0,13,-81,15,27,D
791,2019.12.06,,,10.09.26,,0,5G,-97,-12,15.0,15,-79,8592,131,D
792,2019.12.06,,,10.09.27,,0,5G,-97,-9,13.0,15,-79,13543,163,D
833,2019.12.06,,,10.10.12,,0,5G,-97,-8,4.0,12,-81,3551,34,D
843,2019.12.06,,,10.10.23,,0,5G,-97,-10,3.0,12,-81,15,27,D
876,2019.12.06,,,10.10.58,,0,5G,-96,-8,6.0,14,-80,731,12,D
883,2019.12.06,,,10.11.06,,0,5G,-96,-12,4.0,14,-80,801,119,D
898,2019.12.06,,,10.11.22,,0,5G,-97,-11,3.0,14,-81,18,33,D
914,2019.12.06,,,10.11.40,,0,5G,-97,-10,10.0,14,-81,11,1,D
943,2019.12.06,,,10.12.11,,0,5G,-97,-9,8.0,14,-81,195,369,D
944,2019.12.06,,,10.12.12,,0,5G,-96,-11,4.0,14,-81,66031,1637,D
945,2019.12.06,,,10.12.13,,0,5G,-96,-11,4.0,14,-81,136028,1271,D
946,2019.12.06,,,10.12.14,,0,5G,-96,-9,5.0,14,-81,60434,339,D
948,2019.12.06,,,10.12.16,,0,5G,-97,-11,3.0,14,-81,9348,32,D
988,2019.12.06,,,10.13.00,,0,5G,-97,-10,6.0,12,-81,23885,109,D
999,2019.12.06,,,10.13.12,,0,5G,-97,-10,8.0,12,-81,17,30,D
1003,2019.12.06,,,10.13.16,,0,5G,-97,-9,14.0,12,-81,15,37,D
1030,2019.12.06,,,10.13.45,,0,5G,-97,-15,2.0,15,-80,13283,225,D
1031,2019.12.06,,,10.13.46,,0,5G,-97,-15,2.0,15,-80,27102,170,D
1055,2019.12.06,,,10.14.12,,0,5G,-96,-14,10.0,15,-81,17,30,D
1074,2019.12.06,,,10.14.33,,0,5G,-96,-13,-6.0,10,-81,4139,77,D
1075,2019.12.06,,,10.14.34,,0,5G,-96,-13,-6.0,9,-79,4264,53,D
1076,2019.12.06,,,10.14.35,,0,5G,-96,-11,15.0,14,-81,14533,182,D
1077,2019.12.06,,,10.14.36,,0,5G,-96,-11,15.0,14,-81,5008,34,D
1098,2019.12.06,,,10.14.59,,0,5G,-96,-11,11.0,14,-81,59,12,D
1099,2019.12.06,,,10.15.00,,0,5G,-96,-11,11.0,14,-81,17,1,D
1110,2019.12.06,,,10.15.12,,0,5G,-95,-15,6.0,9,-78,15,26,D
1118,2019.12.06,,,10.15.20,,0,5G,-95,-9,8.0,11,-80,23318,151,D
1119,2019.12.06,,,10.15.22,,0,5G,-95,-9,8.0,11,-80,5720,29,D
1160,2019.12.06,,,10.16.06,,0,5G,-98,-9,4.0,15,-83,18172,126,D
1166,2019.12.06,,,10.16.12,,0,5G,-99,-10,9.0,15,-83,17,27,D
1202,2019.12.06,,,10.16.51,,0,5G,-98,-12,1.0,11,-84,21013,124,D
1203,2019.12.06,,,10.16.52,,0,5G,-98,-12,1.0,11,-84,7655,39,D
1221,2019.12.06,,,10.17.12,,0,5G,-99,-9,1.0,6,-82,54,42,D
1241,2019.12.06,,,10.17.34,,0,5G,-98,-9,9.0,15,-84,42,15,D
1244,2019.12.06,,,10.17.37,,0,5G,-98,-10,-1.0,15,-84,23050,144,D
1245,2019.12.06,,,10.17.38,,0,5G,-98,-10,-1.0,15,-84,3872,15,D
1277,2019.12.06,,,10.18.12,,0,5G,-98,-14,0.0,14,-,15,5,D
1286,2019.12.06,,,10.18.22,,0,5G,-98,-11,5.0,14,-,26052,147,D
1287,2019.12.06,,,10.18.23,,0,5G,-98,-11,5.0,14,-,2057,15,D
1328,2019.12.06,,,10.19.08,,0,5G,-99,-11,7.0,15,-,22864,120,D
1332,2019.12.06,,,10.19.12,,0,5G,-102,-14,3.0,15,-,15,26,D
1370,2019.12.06,,,10.19.53,,0,5G,-102,-12,0.0,12,-89,33127,161,D
1389,2019.12.06,,,10.20.14,,0,5G,-101,-11,-5.0,10,-,14,0,D
1412,2019.12.06,,,10.20.39,,0,5G,-102,-11,3.0,12,-88,32107,144,D
1444,2019.12.06,,,10.21.13,,0,5G,-102,-12,0.0,7,-87,18,15,D
1454,2019.12.06,,,10.21.24,,0,5G,-101,-11,-1.0,13,-87,4483,168,D
1455,2019.12.06,,,10.21.25,,0,5G,-101,-11,-1.0,13,-87,10305,126,D
1456,2019.12.06,,,10.21.26,,0,5G,-101,-13,9.0,13,-87,12701,114,D
1457,2019.12.06,,,10.21.27,,0,5G,-101,-13,9.0,13,-87,2538,22,D
1474,2019.12.06,,,10.21.46,,0,5G,-102,-10,7.0,11,-,11,1,D
1499,2019.12.06,,,10.22.13,,0,5G,-100,-10,3.0,14,-,12201,160,D
1500,2019.12.06,,,10.22.14,,0,5G,-101,-11,3.0,14,-,5581,46,D
1501,2019.12.06,,,10.22.15,,0,5G,-101,-11,3.0,14,-,4349,38,D
1502,2019.12.06,,,10.22.16,,0,5G,-102,-11,4.0,15,-,1458,45,D
1503,2019.12.06,,,10.22.17,,0,5G,-102,-11,4.0,15,-,2488,33,D
1504,2019.12.06,,,10.22.18,,0,5G,-102,-11,8.0,15,-,3940,32,D
1505,2019.12.06,,,10.22.19,,0,5G,-102,-11,8.0,15,-,2507,16,D
1547,2019.12.06,,,10.23.05,,0,5G,-101,-10,3.0,14,-89,14292,142,D
1548,2019.12.06,,,10.23.06,,0,5G,-100,-12,4.0,14,-89,19334,165,D
1554,2019.12.06,,,10.23.12,,0,5G,-101,-11,9.0,15,-89,15,26,D
1590,2019.12.06,,,10.23.51,,0,5G,-101,-12,9.0,11,-87,31011,212,D
1609,2019.12.06,,,10.24.12,,0,5G,-102,-10,0.0,12,-,15,26,D
1632,2019.12.06,,,10.24.37,,0,5G,-102,-14,2.0,12,-89,8821,131,D
1633,2019.12.06,,,10.24.38,,0,5G,-102,-14,2.0,12,-89,5447,82,D
1634,2019.12.06,,,10.24.39,,0,5G,-102,-13,-2.0,12,-89,11942,130,D
1635,2019.12.06,,,10.24.40,,0,5G,-102,-13,-2.0,12,-89,1853,15,D
1636,2019.12.06,,,10.24.41,,0,5G,-102,-10,5.0,12,-89,1127,41,D
1637,2019.12.06,,,10.24.42,,0,5G,-102,-10,5.0,12,-89,4389,78,D
1652,2019.12.06,,,10.24.58,,0,5G,-100,-15,5.0,13,-,33,11,D
1659,2019.12.06,,,10.25.06,,0,5G,-100,-11,2.0,14,-89,12,37,D
1665,2019.12.06,,,10.25.12,,0,5G,-101,-13,-1.0,12,-,15,26,D
1676,2019.12.06,,,10.25.24,,0,5G,-103,-11,8.0,14,-,3331,70,D
1677,2019.12.06,,,10.25.26,,0,5G,-103,-11,8.0,11,-85,3062,49,D
1679,2019.12.06,,,10.25.28,,0,5G,-102,-13,10.0,11,-90,863,30,D
1680,2019.12.06,,,10.25.29,,0,5G,-102,-15,2.0,12,-85,1680,27,D
1681,2019.12.06,,,10.25.30,,0,5G,-102,-15,2.0,13,-89,11,0,D
1683,2019.12.06,,,10.25.32,,0,5G,-103,-15,0.0,13,-84,691,19,D
1684,2019.12.06,,,10.25.33,,0,5G,-101,-14,7.0,13,-84,8468,143,D
1685,2019.12.06,,,10.25.34,,0,5G,-101,-14,7.0,14,-89,3224,62,D
1686,2019.12.06,,,10.25.35,,0,5G,-100,-10,6.0,14,-89,10903,99,D
1720,2019.12.06,,,10.26.12,,0,5G,-101,-10,7.0,14,-84,15,26,D
1727,2019.12.06,,,10.26.20,,0,5G,-101,-10,7.0,14,-84,4162,71,D
1728,2019.12.06,,,10.26.21,,0,5G,-102,-12,8.0,14,-84,6380,82,D
1729,2019.12.06,,,10.26.22,,0,5G,-102,-12,8.0,9,-89,19646,159,D
1763,2019.12.06,,,10.26.59,,0,5G,-101,-10,8.0,13,-88,11,1,D
1771,2019.12.06,,,10.27.07,,0,5G,-101,-11,4.0,14,-88,34470,234,D
1776,2019.12.06,,,10.27.13,,0,5G,-102,-12,-4.0,14,-88,16,3,D
1813,2019.12.06,,,10.27.53,,0,5G,-102,-12,-2.0,12,-85,18528,289,D
1814,2019.12.06,,,10.27.54,,0,5G,-102,-15,1.0,12,-85,12199,197,D
1831,2019.12.06,,,10.28.12,,0,5G,-101,-12,2.0,11,-,15,26,D
1856,2019.12.06,,,10.28.39,,0,5G,-102,-13,-3.0,11,-,11087,181,D
1857,2019.12.06,,,10.28.40,,0,5G,-102,-13,-3.0,11,-,17295,242,D
1858,2019.12.06,,,10.28.42,,0,5G,-102,-16,0.0,11,-,4562,48,D
1899,2019.12.06,,,10.29.26,,0,5G,-101,-11,6.0,11,-,4759,69,D
1900,2019.12.06,,,10.29.27,,0,5G,-100,-13,6.0,14,-83,24974,336,D
1942,2019.12.06,,,10.30.12,,0,5G,-100,-11,5.0,11,-,10873,207,D
1943,2019.12.06,,,10.30.13,,0,5G,-100,-11,5.0,11,-,18013,264,D
1985,2019.12.06,,,10.30.59,,0,5G,-100,-13,5.0,14,-83,20785,324,D
1986,2019.12.06,,,10.31.00,,0,5G,-100,-14,4.0,14,-83,11865,198,D
1999,2019.12.06,,,10.31.14,,0,5G,-100,-13,6.0,13,-83,15,25,D
2028,2019.12.06,,,10.31.45,,0,5G,-100,-11,2.0,14,-83,5983,105,D
2029,2019.12.06,,,10.31.46,,0,5G,-100,-11,2.0,14,-83,22918,349,D
2047,2019.12.06,,,10.32.06,,0,5G,-101,-15,3.0,8,-90,14,6,D
2053,2019.12.06,,,10.32.12,,0,5G,-101,-15,-2.0,8,-90,22,27,D
2071,2019.12.06,,,10.32.32,,0,5G,-101,-10,4.0,12,-83,7599,134,D
2072,2019.12.06,,,10.32.33,,0,5G,-102,-15,-1.0,14,-85,15538,255,D
2073,2019.12.06,,,10.32.34,,0,5G,-102,-15,-1.0,14,-85,8385,135,D
2074,2019.12.06,,,10.32.35,,0,5G,-100,-16,2.0,11,-83,5266,92,D
2116,2019.12.06,,,10.33.21,,0,5G,-101,-12,8.0,13,-,30507,152,D
2149,2019.12.06,,,10.33.56,,0,5G,-101,-13,4.0,14,-,53,33,D
2157,2019.12.06,,,10.34.05,,0,5G,-99,-10,8.0,9,-82,472,21,D
2158,2019.12.06,,,10.34.06,,0,5G,-101,-10,9.0,10,-84,23951,363,D
2159,2019.12.06,,,10.34.07,,0,5G,-101,-10,9.0,10,-84,8344,112,D
2164,2019.12.06,,,10.34.13,,0,5G,-100,-10,-1.0,13,-84,18,31,D
2201,2019.12.06,,,10.34.53,,0,5G,-102,-14,6.0,14,-,12285,211,D
2202,2019.12.06,,,10.34.54,,0,5G,-101,-14,-3.0,14,-,21139,292,D
2208,2019.12.06,,,10.35.00,,0,5G,-102,-12,1.0,14,-,55,11,D
2219,2019.12.06,,,10.35.12,,0,5G,-101,-10,3.0,14,-,15,26,D
2244,2019.12.06,,,10.35.39,,0,5G,-101,-11,7.0,14,-,9019,144,D
2245,2019.12.06,,,10.35.40,,0,5G,-101,-11,7.0,14,-,14410,224,D
2246,2019.12.06,,,10.35.41,,0,5G,-101,-15,4.0,14,-,8769,137,D
2275,2019.12.06,,,10.36.13,,0,5G,-101,-11,-7.0,14,-,19,33,D
2288,2019.12.06,,,10.36.27,,0,5G,-101,-9,-1.0,14,-,11118,179,D
2289,2019.12.06,,,10.36.28,,0,5G,-101,-9,-1.0,15,-85,21654,341,D
2291,2019.12.06,,,10.36.30,,0,5G,-102,-10,6.0,15,-85,11,1,D
2330,2019.12.06,,,10.37.12,,0,5G,-100,-12,7.0,13,-,15,26,D
2331,2019.12.06,,,10.37.13,,0,5G,-100,-12,7.0,13,-,6861,112,D
2332,2019.12.06,,,10.37.14,,0,5G,-100,-11,10.0,13,-,12397,213,D
2333,2019.12.06,,,10.37.15,,0,5G,-100,-11,10.0,13,-,12993,190,D
